name,birthday,nationality,team
WILLIE MCCORMACK,1993-11-21,Mongolia,LuminosityGaming
KEENAN POUNDSTONE,1995-11-18,Mauritius,LuminosityGaming
JAMIE ECHEVERRY,1993-07-21,Austria,LuminosityGaming
RUDOLPH SZYDLOWSKI,1990-08-15,CookIslands,LuminosityGaming
COLTON SZWED,1992-04-26,Cameroon,LuminosityGaming
TERRY SZYPOWSKI,1993-11-25,Tunisia,LuminosityGaming
PRINCE WINSHIP,1995-08-22,Namibia,LuminosityGaming
JARVIS SALWAY,1993-10-06,Taiwan,LuminosityGaming
ANTIONE SHORB,1990-01-03,Uruguay,LuminosityGaming
NOE POULSEN,1988-11-03,Egypt,LuminosityGaming
LINCOLN FILIPPONE,1993-06-27,Thailand,LuminosityGaming
MILFORD PEDEARE,1994-06-02,Grenada,LuminosityGaming
GRADY SCHMIDT,1989-02-11,Germany,LuminosityGaming
JONAS MCFARLIN,1994-11-06,NewZealand,LuminosityGaming
PRINCE FELIO,1984-03-12,HongKong,LuminosityGaming
REUBEN BEA,1993-12-13,Mauritius,LuminosityGaming
KENNETH CAMELO,1991-10-15,Kazakhstan,LuminosityGaming
ORVAL JOMA,1986-09-24,Serbia,LuminosityGaming
CHRISTOPER MORELLE,1986-09-15,Peru,LuminosityGaming
SAUL FLOTA,1990-09-20,ElSalvador,LuminosityGaming
