id,team_id,name,birthday,nationality,weight,height
801,41,SILAS IKEHARA,1984-04-24,CookIslands,64,178
802,41,HORACE HUXFORD,1994-03-04,Nepal,77,192
803,41,BRENT DUSABLON,1995-06-03,NewZealand,53,183
804,41,JEROMY WESTFIELD,1990-11-18,Qatar,87,164
805,41,HERMAN PLY,1984-09-25,SaintHelena,88,166
806,41,ROLLAND SIEBEL,1986-04-25,Djibouti,74,173
807,41,FELIX HEIDTKE,1986-05-19,BurkinaFaso,72,169
808,41,LEO MARQUARD,1995-10-08,Malaysia,50,189
809,41,TOD TRAMPE,1988-04-11,Greece,78,178
810,41,JIMMY TIPPETS,1986-08-14,Belize,74,169
811,41,LOUIS DOHOGNE,1985-01-26,Hungary,77,164
812,41,STEPHAN ROESCH,1985-10-20,Samoa,53,171
813,41,OCTAVIO DEMERS,1987-10-24,India,61,192
814,41,PRESTON CELESTIN,1985-06-02,Malaysia,64,164
815,41,DOUGLASS CAROLLO,1995-07-19,Gambia,63,166
816,41,GRAIG FITTS,1993-07-09,CostaRica,57,194
817,41,DOUG DANIELIAN,1992-11-10,Turkey,85,170
818,41,CALVIN LARROSA,1989-12-26,Lebanon,80,164
819,41,KURTIS EMME,1994-12-04,Gibraltar,57,184
820,41,LEOPOLDO COHOON,1994-09-06,Senegal,76,174
821,42,GRADY CAPLINGER,1989-11-23,Chad,80,175
822,42,CASEY BERNOS,1985-07-23,Bahamas,83,194
823,42,RODERICK RANDO,1994-01-03,SaudiArabia,79,175
824,42,MARCUS SPOONAMORE,1992-08-13,Uruguay,62,183
825,42,TREVOR BATKO,1987-05-24,Haiti,50,176
826,42,BYRON SMARR,1990-02-21,Anguilla,76,188
827,42,MONROE ROSSMANN,1989-12-22,Angola,89,191
828,42,CHAUNCEY BOALS,1993-04-11,Kosovo,83,196
829,42,EDDY GAETA,1995-01-09,Japan,84,179
830,42,FAUSTO SCHLINGER,1994-12-21,Dominica,53,197
831,42,QUINTIN RIEGLE,1990-09-03,Gabon,59,187
832,42,DOUGLASS BUDDY,1986-05-24,Malaysia,64,193
833,42,KEVEN SHUMAKER,1984-01-14,Cuba,59,187
834,42,KASEY BLIDE,1988-08-20,Iraq,88,162
835,42,BENTON WINDLER,1985-10-17,Azerbaijan,86,163
836,42,CRAIG PENSICK,1984-10-10,China,67,195
837,42,VALENTIN RICKSON,1987-02-27,Dominica,63,192
838,42,TRINIDAD NADDEO,1985-04-16,Sweden,70,196
839,42,OSWALDO THOMASSEN,1986-02-16,Jersey,75,181
840,42,DOMINIC FINDER,1985-09-11,Ecuador,50,196
841,43,CLEMENT VICARI,1989-11-16,SaudiArabia,52,177
842,43,HUGH TOYAMA,1995-12-07,Liechtenstein,52,178
843,43,WENDELL SPARKS,1995-06-27,Israel,86,188
844,43,HANS LAPERUTA,1992-02-23,Afghanistan,61,181
845,43,LOREN CHAMBLIN,1994-11-24,BouvetIsland,85,179
846,43,MARSHALL OURS,1985-02-24,Portugal,52,164
847,43,PETE LAPEK,1989-09-07,Bangladesh,71,192
848,43,SETH SISNEROZ,1986-07-09,Greenland,71,172
